Time,enc_1, enc_2,Robx,Roby,PlayerX, PlayerY,CirclePosX, CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-05-23 13:52:04.875,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.880,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.905,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.911,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.918,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.946,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.967,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.991,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.995,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.001,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.030,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.037,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.061,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.066,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.073,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.100,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.125,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.149,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.156,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.166,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.193,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.200,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.225,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.231,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.236,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.264,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.288,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.311,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.317,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.323,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.349,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.355,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.364,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.384,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.389,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.397,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.422,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.440,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.462,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.467,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.473,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.499,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.505,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.512,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.536,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.542,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.547,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.572,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.592,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.614,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.619,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.627,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.651,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.656,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.662,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.688,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.695,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.701,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.726,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.748,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.768,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.774,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.781,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.807,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.812,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.818,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.845,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.849,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.856,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.884,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.910,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.932,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.938,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.944,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.971,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.976,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:05.982,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.010,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.016,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.022,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.051,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.072,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.095,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.102,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.111,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.139,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.146,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.175,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.181,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.213,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.235,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.261,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.268,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.273,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.298,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.304,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.312,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.337,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.342,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.348,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.374,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.397,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.420,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.427,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.433,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.464,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.471,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.497,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.503,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.507,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.533,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.554,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.575,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.579,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.586,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.613,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.618,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.624,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.650,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.656,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.662,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.688,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.711,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.736,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.743,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.749,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.775,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.781,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.787,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.814,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.819,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.826,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.851,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.871,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.895,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.901,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.908,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.933,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.939,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.945,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.972,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.978,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:06.985,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.010,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.032,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.055,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.060,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.066,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.093,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.099,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.122,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.128,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.135,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.159,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.165,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.188,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.209,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.214,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.221,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.229,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.255,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.261,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.267,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.293,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.299,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.306,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.336,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.359,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.383,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.388,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.396,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.424,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.431,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.454,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.462,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.469,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.499,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.525,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.554,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.561,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.588,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.595,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.622,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.628,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.654,0,0,0,-4.368,,,,,,,,,
