Time,Encoder1,Encoder2
04-07-2024 17:10:22.921,0,0
04-07-2024 17:10:22.936,0,0
04-07-2024 17:10:22.952,0,0
04-07-2024 17:10:22.960,0,0
04-07-2024 17:10:22.969,0,0
04-07-2024 17:10:22.977,0,0
04-07-2024 17:10:22.984,0,0
04-07-2024 17:10:22.993,0,0
04-07-2024 17:10:23.001,0,0
04-07-2024 17:10:23.010,0,0
04-07-2024 17:10:23.017,0,0
04-07-2024 17:10:23.026,0,0
04-07-2024 17:10:23.035,0,0
04-07-2024 17:10:23.042,0,0
04-07-2024 17:10:23.052,0,0
04-07-2024 17:10:23.060,0,0
04-07-2024 17:10:23.067,0,0
04-07-2024 17:10:23.076,0,0
04-07-2024 17:10:23.085,0,0
04-07-2024 17:10:23.094,0,0
04-07-2024 17:10:23.101,0,0
04-07-2024 17:10:23.111,0,0
04-07-2024 17:10:23.118,0,0
04-07-2024 17:10:23.126,0,0
04-07-2024 17:10:23.135,0,0
04-07-2024 17:10:23.143,0,0
04-07-2024 17:10:23.152,0,0
04-07-2024 17:10:23.159,0,0
04-07-2024 17:10:23.169,0,0
04-07-2024 17:10:23.176,0,0
04-07-2024 17:10:23.184,0,0
04-07-2024 17:10:23.193,0,0
04-07-2024 17:10:23.202,0,0
04-07-2024 17:10:23.211,0,0
04-07-2024 17:10:23.218,0,0
04-07-2024 17:10:23.229,0,0
04-07-2024 17:10:23.235,0,0
04-07-2024 17:10:23.243,0,0
04-07-2024 17:10:23.254,0,0
04-07-2024 17:10:23.262,0,0
04-07-2024 17:10:23.270,0,0
04-07-2024 17:10:23.276,0,0
04-07-2024 17:10:23.285,0,0
04-07-2024 17:10:23.295,0,0
04-07-2024 17:10:23.301,0,0
04-07-2024 17:10:23.311,0,0
04-07-2024 17:10:23.318,0,0
04-07-2024 17:10:23.328,0,0
04-07-2024 17:10:23.336,0,0
04-07-2024 17:10:23.345,0,0
04-07-2024 17:10:23.353,0,0
04-07-2024 17:10:23.360,0,0
04-07-2024 17:10:23.370,0,0
04-07-2024 17:10:23.376,0,0
04-07-2024 17:10:23.385,0,0
