Time,Encoder1,Encoder2
04-07-2024 17:06:01.588,0,0
04-07-2024 17:06:01.607,0,0
04-07-2024 17:06:01.622,0,0
04-07-2024 17:06:01.632,0,0
04-07-2024 17:06:01.639,0,0
04-07-2024 17:06:01.646,0,0
04-07-2024 17:06:01.657,0,0
04-07-2024 17:06:01.664,0,0
04-07-2024 17:06:01.674,0,0
04-07-2024 17:06:01.681,0,0
04-07-2024 17:06:01.691,0,0
04-07-2024 17:06:01.696,0,0
04-07-2024 17:06:01.704,0,0
04-07-2024 17:06:01.715,0,0
04-07-2024 17:06:01.722,0,0
04-07-2024 17:06:01.731,0,0
04-07-2024 17:06:01.739,0,0
04-07-2024 17:06:01.748,0,0
04-07-2024 17:06:01.756,0,0
04-07-2024 17:06:01.764,0,0
04-07-2024 17:06:01.778,0,0
04-07-2024 17:06:01.783,0,0
04-07-2024 17:06:01.790,0,0
04-07-2024 17:06:01.797,0,0
04-07-2024 17:06:01.807,0,0
04-07-2024 17:06:01.825,0,0
04-07-2024 17:06:01.831,0,0
04-07-2024 17:06:01.841,0,0
04-07-2024 17:06:01.848,0,0
04-07-2024 17:06:01.857,0,0
04-07-2024 17:06:01.865,0,0
04-07-2024 17:06:01.874,0,0
04-07-2024 17:06:01.881,0,0
04-07-2024 17:06:01.892,0,0
04-07-2024 17:06:01.898,0,0
04-07-2024 17:06:01.906,0,0
04-07-2024 17:06:01.917,0,0
04-07-2024 17:06:01.923,0,0
04-07-2024 17:06:01.933,0,0
04-07-2024 17:06:01.939,0,0
04-07-2024 17:06:01.949,0,0
04-07-2024 17:06:01.958,0,0
04-07-2024 17:06:01.963,0,0
04-07-2024 17:06:01.976,0,0
04-07-2024 17:06:01.982,0,0
04-07-2024 17:06:01.991,0,0
04-07-2024 17:06:01.998,0,0
04-07-2024 17:06:02.006,0,0
04-07-2024 17:06:02.015,0,0
04-07-2024 17:06:02.022,0,0
04-07-2024 17:06:02.033,0,0
